id,date,first_round_shooting_time,second_round_shooting_time,first_round,second_round
1434,2025-01-06,3:15 PM,4:15 PM,68,27
1433,2025-01-04,3:15 PM,4:15 PM,89,15
1432,2025-01-03,3:15 PM,4:15 PM,12,96
1431,2025-01-02,3:15 PM,4:15 PM,64,92
1430,2025-01-01,3:15 PM,4:15 PM,80,37
1429,2024-12-31,3:15 PM,4:15 PM,12,88
1428,2024-12-30,3:15  PM,4:15 PM,26,73
1427,2024-12-28,3:15 PM,4:15 PM,41,10
1426,2024-12-27,3:15 PM,4:15 PM,53,02
1425,2024-12-26,3:15 PM,4:15 PM,35,28
1424,2024-12-25,3:15 PM,4:15 PM,12,26
1423,2024-12-24,3:15 PM,4:15 PM,80,02
1422,2024-12-23,3:15 PM,4:15 PM,87,45
1421,2024-12-21,3:15 PM,4:15 PM,38,05
1420,2024-12-20,3:15 PM,4:15 PM,56,51
1419,2024-12-19,3:15 PM,4:15 PM,63,52
1418,2024-12-18,3:15 PM,4:15 PM,34,37
1417,2024-12-17,3:15 PM,4:15 PM,60,95
1416,2024-12-16,4:15 PM,3:15 PM,61,04
1415,2024-12-14,3:15 PM,4:15 PM,36,04
1414,2024-12-13,3:15 PM,4:15 PM,93,37
1413,2024-12-12,3:15 PM,4:15 PM,75,58
1412,2024-12-11,3:15 PM,4:15 PM,31,76
1411,2024-12-10,3:15 PM,4:15 PM,55,37
1410,2024-12-09,3:15 PM,4:15 PM,12,30
1409,2024-12-07,3:15 PM,4:15 PM,78,27
1408,2024-12-06,3:15 PM,4:15 PM,95,41
1407,2024-12-05,3:15 PM,4:15 PM,75,45
1406,2024-12-04,3:15 PM,4:15 PM,38,70
1405,2024-12-03,3:15 PM,4:15 PM,34,75
1404,2024-12-02,3:15 PM,4:15 PM,44,16
1403,2024-11-30,3:30 PM,4:30 PM,70,75
1402,2024-11-29,3:30 PM,4:30 PM,37,57
1401,2024-11-28,3:30 PM,4:30 PM,96,44
1400,2024-11-27,3:30 PM,4:30 PM,53,42
1399,2024-11-26,3:30 PM,4:30 PM,63,92
1398,2024-11-25,3:30 PM,4:30 PM,27,76
1397,2024-11-23,3:30 PM,4:30 PM,16,41
1396,2024-11-22,3:30 PM,4:40 PM,06,16
1395,2024-11-21,3:30 PM,4:30 PM,34,25
1394,2024-11-20,3:30 PM,4:30 PM,53,78
1393,2024-11-19,3:30 PM,4:30 PM,57,64
1392,2024-11-18,3:30 PM,4:30 PM,34,66
1391,2024-11-16,3:30 PM,4:30 PM,44,18
1390,2024-11-15,3:30 PM,4:30 PM,33,23
1389,2024-11-14,3:30 PM,4:30 PM,05,93
1388,2024-11-13,3:30 PM,4:30 PM,35,66
1387,2024-11-12,3:30 PM,4:30 PM,83,28
1386,2024-11-11,3:30 PM,4:30 PM,99,90
1385,2024-11-09,3:30 PM,4:30 PM,93,28
1384,2024-11-08,3:30 PM,4:30 PM,41,63
1383,2024-11-07,3:30 PM,4:30 PM,35,62
1382,2024-11-06,3:30 PM,4:30 PM,37,38
1381,2024-11-05,3:30 PM,4:30 PM,38,01
1380,2024-11-04,3:30 PM,4:30 PM,09,82
1379,2024-11-02,3:30 PM,4:30 PM,50,28
1378,2024-11-01,3:30 PM,4:30 PM,55,21
1377,2024-10-31,3:30 PM,4:30 PM,69,71
1376,2024-10-30,3:30 PM,4:30 PM,59,94
1375,2024-10-29,3:30 PM,4:30 PM,49,02
1374,2024-10-28,3:30 PM,4:40 pm,56,38
1373,2024-10-26,3:30 PM,4:30 PM,68,75
1372,2024-10-25,3:30 PM,4:30 PM,16,95
1371,2024-10-24,3:30 PM,4:30 PM,46,14
1370,2024-10-23,3:45 PM,4:45 PM,55,67
1369,2024-10-22,3:45 PM,4:45 PM,63,58
1368,2024-10-21,3:45 PM,4:45 PM,91,36
1367,2024-10-19,3:45 PM,4:45 PM,57,21
1366,2024-10-18,3:45 PM,4:45 PM,67,35
1365,2024-10-17,3:45 PM,4:45 PM,96,31
1364,2024-10-16,3:45 PM,4:45 PM,55,69
1363,2024-10-15,3:45 PM,4:45 PM,16,84
1362,2024-10-14,3:45 PM,4:45 PM,97,24
1361,2024-10-12,3:45 PM,4:45 PM,99,69
1360,2024-10-11,3:45 PM,4:45 PM,00,50
1359,2024-10-10,3:45 PM,4:45 PM,89,14
1358,2024-10-09,3:45 PM,4:45 PM,22,33
1357,2024-10-08,3:45 PM,4:45 PM,32,56
1356,2024-10-07,3:45 PM,4:45 PM,87,58
1355,2024-10-05,3:45 PM,4:45 PM,98,42
1354,2024-10-04,3:45 PM,4:45 PM,48,49
1353,2024-10-03,3:45 PM,4:45 PM,64,81
1352,2024-10-02,3:45 PM,4:45 PM,85,29
1351,2024-10-01,3:45 PM,4:45 PM,38,75
1350,2024-09-30,3:45 PM,4:45 PM,19,55
1349,2024-09-28,3:45 PM,4:45 PM,52,10
1348,2024-09-27,3:45 PM,4:45 PM,60,44
1347,2024-09-26,3:45 PM,4:45 PM,45,78
1346,2024-09-25,3:45 PM,4:45 PM,00,21
1345,2024-09-24,3:45 PM,4:45 PM,21,83
1344,2024-09-23,3:45 PM,4:45 PM,72,30
1343,2024-09-21,3:45 PM,4:45 PM,32,55
1342,2024-09-20,3:45 PM,4:45 pm,18,96
1341,2024-09-19,4:00 PM,5:00 PM,46,03
1340,2024-09-18,4:00 PM,5:00 PM,55,52
1339,2024-09-17,4:00 PM,5:00 PM,52,28
1338,2024-09-16,4:00 PM,5:00 PM,59,31
1337,2024-09-14,4:00 PM,5:00 PM,74,11
1336,2024-09-13,4:00 PM,5:00 PM,90,53
1335,2024-09-12,4:00 PM,5:00 PM,43,60
1334,2024-09-11,4:00 PM,5:00 PM,69,70
1333,2024-09-10,4:00 PM,5:00 PM,63,60
1332,2024-09-09,4:00 PM,5:00 PM,57,88
1331,2024-09-07,4:00 PM,5:00 PM,72,80
1330,2024-09-06,4:00 PM,5:00 PM,67,34
1329,2024-09-05,4:00 PM,5:00 PM,79,35
1328,2024-09-04,4:00 PM,5:00 PM,67,80
1327,2024-09-03,4:00 PM,5:00 PM,90,35
1326,2024-09-02,4:00 PM,5:00 PM,70,50
1325,2024-08-31,4:00 PM,5:00 PM,03,06
1324,2024-08-30,4:00 PM,5:00 PM,70,67
1323,2024-08-29,4:00 PM,5:00 PM,06,81
1322,2024-08-28,4:00 PM,5:00 PM,68,37
1321,2024-08-27,4:00 PM,5:00 PM,85,44
1320,2024-08-26,4:00 PM,5:00 PM,35,92
1319,2024-08-24,4:00 PM,5:00 PM,22,73
1318,2024-08-23,4:00 PM,5:00 PM,52,40
1317,2024-08-22,4:00 PM,5:00 PM,30,56
1316,2024-08-21,4:00 PM,5:00 PM,80,59
1315,2024-08-20,4:00 PM,5:00 PM,43,70
1314,2024-08-19,4:00 PM,5:00 PM,79,07
1313,2024-08-17,4:00 PM,5:00 PM,52,00
1312,2024-08-16,4:00 PM,5:00 PM,93,62
1311,2024-08-15,4:00 PM,5:00 PM,85,54
1310,2024-08-14,4:00 PM,5:00 PM,53,81
1309,2024-08-13,4:00 PM,5:00 PM,16,72
1308,2024-08-12,4:00 PM,5:00 PM,75,82
1307,2024-08-10,4:00 PM,5:00 PM,86,31
1306,2024-08-09,4:00 PM,5:00 PM,83,69
1305,2024-08-08,4:00 PM,5:00 PM,77,37
1304,2024-08-07,4:00 PM,5:00 PM,59,12
1303,2024-08-06,4:00 PM,5:00 PM,69,67
1302,2024-08-05,4:00 PM,5:00 PM,19,07
1301,2024-08-03,4:00 PM,5:00 PM,64,10
1300,2024-08-02,4:00 PM,5:00 PM,67,67
1299,2024-08-01,4:00 PM,5:00 PM,40,40
1298,2024-07-31,4:00 PM,5:00 PM,61,58
1297,2024-07-30,4:00 PM,5:00 PM,54,89
1296,2024-07-29,4:00 PM,5:00 PM,87,96
1295,2024-07-27,4:00 PM,5:00 PM,83,78
1294,2024-07-26,4:00 PM,5:00 PM,53,98
1293,2024-07-25,4:00 PM,5:00 PM,54,30
1292,2024-07-24,4:00 PM,5:00 PM,29,01
1291,2024-07-23,4:00 PM,5:00 PM,44,53
1290,2024-07-22,4:00 PM,5:00 PM,05,66
1289,2024-07-20,4:00 PM,5:00 PM,06,06
1288,2024-07-19,4:00 PM,5:00 PM,82,86
1287,2024-07-18,4:00 PM,5:00 PM,20,26
1286,2024-07-17,4:00 PM,5:00 PM,29,65
1284,2024-07-16,4:00 PM,5:00 PM,22,81
1283,2024-07-15,4:00 PM,5:00 PM,27,21
1282,2024-07-13,4:00 PM,5:00 PM,35,90
1281,2024-07-12,4:00 PM,5:00 PM,90,57
1280,2024-07-11,4:00 PM,5:00 PM,32,63
1279,2024-07-10,4:00 PM,5:00 PM,26,36
1278,2024-07-09,4:00 PM,5:00 PM,30,88
1277,2024-07-08,4:00 PM,5:00 PM,20,09
1276,2024-07-06,4:00 PM,5:00 PM,34,23
1275,2024-07-05,4:00 PM,5:00 PM,00,24
1274,2024-07-04,4:00 PM,5:00 PM,35,21
1273,2024-07-03,4:00 PM,5:00 PM,29,13
1272,2024-07-02,4:00 PM,5:00 PM,64,18
1271,2024-07-01,4:00 PM,5:00 PM,26,54
1270,2024-06-29,4:00 PM,5:00 PM,07,66
1269,2024-06-28,4:00 PM,5:00 PM,46,42
1268,2024-06-27,4:00 PM,5:00 PM,55,91
1267,2024-06-26,4:00 PM,5:00 PM,15,29
1266,2024-06-25,4:00 PM,5:00 PM,85,23
1265,2024-06-24,4:00 PM,5:00 PM,39,00
1264,2024-06-22,4:00 PM,5:00 PM,56,34
1263,2024-06-21,4:00 PM,5:00 PM,20,11
1262,2024-06-20,4:00 PM,5:00 PM,66,24
1261,2024-06-19,4:00 PM,5:00 PM,86,53
1260,2024-06-18,4:00 PM,5:00 PM,29,69
1259,2024-06-17,4:00 PM,5:00 PM,77,34
1258,2024-06-15,",4:00 PM",5:00 PM,31,39
1257,2024-06-14,4:00 PM,5:00 PM,60,65
1256,2024-06-13,4:00 PM,5:00 PM,08,22
1255,2024-06-12,4:00 PM,5:00 PM,93,20
1254,2024-06-11,4:00 PM,5:00 PM,57,74
1253,2024-06-10,4:00 PM,5:00 PM,58,73
1252,2024-06-08,4:00 PM,5:00 PM,90,99
1251,2024-06-07,4:00 PM,5:00 PM,71,85
1250,2024-06-06,4:00 PM,5:00 PM,32,28
1249,2024-06-05,4:00 PM,5:00 PM,90,40
1248,2024-06-04,4:00 PM,5:00 PM,07,91
1247,2024-06-03,4:00 PM,5:00 PM,32,76
1246,2024-06-01,4:00 PM,5:00 PM,95,43
1245,2024-05-31,4:00 PM,5:00 PM,01,70
